age,gender,weight_kg,height_m,bmi,fat_percentage,experience_level,goal,resting_bpm,avg_bpm,max_bpm,hrv_ms,session_date,hour_of_day,workout_type,session_duration_hours,workout_frequency_days_week,muscles_trained,calories_burned,water_intake_liters,time_in_gym_min,idle_time_min,completion_pct,sleep_hours,cumulative_load_7d_kcal,fatigue_score,recovery_ready,workout_completed,protein_target_g
39,Male,103.0,1.77,33.0,32.4,2,Muscle Gain,49,146,174,99.1,2024-03-26,12,Strength,1.52,3,"Chest, Full Body, Legs",714,2.3,111,36,84.6,5.4,224,20.3,1,1,35
33,Male,99.9,1.7,34.5,32.8,3,Weight Loss,76,148,161,20.0,2024-05-12,17,Yoga,0.77,4,Back,233,3.9,54,19,97.7,5.9,162,45.6,1,1,29
41,Male,73.9,1.8,22.8,20.6,3,General Fitness,64,141,164,28.3,2024-04-02,11,Strength,1.33,5,Core,393,3.1,84,31,100.0,5.7,316,48.1,1,1,32
50,Male,80.5,1.63,30.1,31.4,1,Muscle Gain,61,144,170,75.5,2024-09-21,7,Strength,1.39,2,Core,547,2.9,97,28,90.8,7.3,153,15.4,1,1,36
32,Female,45.0,1.68,15.9,10.2,1,Endurance,66,151,162,70.3,2024-07-26,18,Cardio,1.25,4,"Arms, Chest, Full Body",458,2.4,78,34,74.8,8.9,227,7.0,1,0,12
32,Female,93.3,1.57,37.9,36.6,3,Weight Loss,71,178,188,65.5,2024-11-02,7,Strength,1.29,3,"Chest, Full Body",567,0.9,88,33,100.0,7.8,246,13.5,1,1,39
50,Male,96.1,1.84,28.5,29.5,2,Muscle Gain,55,128,150,43.5,2024-10-15,20,Cardio,1.27,4,Back,928,1.9,85,25,100.0,5.9,559,54.5,0,1,20
42,Female,67.3,1.64,24.9,23.3,2,General Fitness,56,129,142,94.8,2024-11-22,20,Cardio,1.2,4,Arms,580,2.0,85,28,96.0,6.3,370,24.0,1,1,20
30,Male,63.2,1.74,20.8,15.7,2,Muscle Gain,71,154,166,57.4,2024-01-10,17,HIIT,0.8,6,"Chest, Arms, Back",424,2.3,56,27,97.3,6.5,410,37.0,1,1,27
40,Male,67.0,1.77,21.4,18.7,2,Weight Loss,47,139,157,30.7,2024-12-04,6,CrossFit,1.31,2,"Core, Full Body, Arms",804,2.5,95,35,98.4,7.4,266,30.2,1,1,37
30,Male,86.1,1.73,28.9,25.4,3,Weight Loss,59,145,171,44.9,2024-05-25,18,Yoga,0.95,4,"Back, Shoulders",225,3.0,63,17,100.0,8.6,95,15.3,1,1,23
30,Male,87.1,1.7,30.1,26.8,3,General Fitness,90,174,190,25.9,2024-02-13,18,Strength,1.36,3,"Legs, Chest, Back",606,2.7,95,29,100.0,6.5,248,43.6,1,1,29
37,Female,75.7,1.62,28.8,26.9,2,Weight Loss,55,139,152,86.8,2024-04-20,20,CrossFit,1.27,4,"Shoulders, Legs, Core",838,3.4,83,32,94.9,8.5,550,25.5,1,1,23
18,Female,69.0,1.64,25.8,18.9,1,General Fitness,76,144,169,46.8,2024-08-17,6,Cardio,1.38,5,Back,666,2.3,96,37,74.8,9.1,410,28.7,1,0,25
18,Male,91.5,1.75,29.8,23.7,3,Weight Loss,59,161,174,59.8,2024-11-06,18,Cardio,1.17,6,"Chest, Full Body",813,2.7,75,28,80.5,6.7,824,60.4,0,1,29
29,Male,64.7,1.71,22.1,17.0,1,Muscle Gain,70,148,155,50.6,2024-08-29,18,Cardio,1.44,3,"Chest, Legs",647,2.8,96,32,76.7,6.6,353,35.5,1,0,23
24,Male,98.6,1.82,29.8,25.1,1,Muscle Gain,71,157,174,47.7,2024-09-03,7,Strength,1.18,5,"Arms, Legs",606,2.7,87,34,63.2,6.6,510,52.1,0,0,48
38,Male,76.3,1.91,21.0,17.7,3,Weight Loss,76,156,182,20.0,2024-03-28,7,CrossFit,1.42,3,Core,824,3.5,96,32,97.3,7.1,388,49.1,1,1,35
25,Male,100.9,1.69,35.4,32.0,1,Muscle Gain,62,146,171,72.0,2024-04-22,18,Cardio,1.06,2,"Arms, Chest",780,3.1,80,24,71.3,6.6,208,25.7,1,0,31
20,Male,74.0,1.65,27.2,21.0,1,Endurance,84,145,164,86.0,2024-07-29,10,HIIT,0.94,5,"Chest, Arms",613,1.4,66,31,83.6,7.9,456,28.3,1,1,17
49,Female,60.7,1.63,23.0,22.7,1,Endurance,59,142,158,41.7,2024-11-03,21,Strength,1.38,3,"Full Body, Core",456,2.4,90,34,71.7,5.5,156,36.0,1,0,38
32,Female,67.1,1.61,26.0,22.4,3,Muscle Gain,67,177,188,20.0,2024-03-14,20,Yoga,1.0,2,"Full Body, Legs, Arms",204,2.5,71,21,100.0,6.5,51,35.9,1,1,21
35,Male,80.6,1.8,25.0,21.8,2,General Fitness,67,156,176,71.1,2024-10-25,18,Yoga,1.08,3,Core,281,4.2,78,28,98.2,7.3,108,11.8,1,1,21
20,Female,59.6,1.63,22.5,15.4,2,Flexibility,53,134,145,22.1,2024-04-03,18,Strength,1.37,3,Chest,426,2.2,83,29,98.1,7.9,184,39.8,1,1,31
29,Male,78.8,1.77,25.3,20.8,1,Weight Loss,62,144,161,84.4,2024-11-15,7,HIIT,0.44,2,"Back, Legs, Chest",326,1.7,39,12,69.7,9.2,88,4.7,1,0,35
36,Male,87.0,1.81,26.7,24.1,3,Muscle Gain,66,161,179,31.9,2024-12-03,20,HIIT,0.81,5,Full Body,617,2.9,54,20,100.0,5.7,458,59.1,0,1,37
23,Male,79.4,1.85,23.1,16.8,3,Weight Loss,60,185,194,27.9,2024-09-18,17,HIIT,0.62,4,Shoulders,479,2.9,41,10,100.0,6.3,310,47.2,1,1,20
38,Female,52.5,1.69,18.4,14.6,1,Weight Loss,89,160,173,65.0,2024-05-15,17,HIIT,0.47,4,"Shoulders, Core",216,2.4,41,19,83.3,4.7,110,38.7,1,1,24
28,Female,77.0,1.53,33.1,30.0,2,Endurance,56,165,188,34.2,2024-03-26,20,HIIT,0.67,3,"Back, Legs",400,2.3,57,20,100.0,5.9,175,36.8,1,1,26
